,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,-0.00015568698971547119,-0.0001595413117050067,-0.00015020123233715565,-0.00012423997324546192,-7.856928926464181e-05,-1.0737572975612708e-05,8.07479447629751e-05,0.00019608915806256023,0.00033387173118813593,0.0004907644280291354,0.0006612616853481436,0.0008374875270674932,0.0010090774121846073,0.00116315210853293,0.001284394297846728,0.0013552345035941146,0.0013561482860942789,0.0012660616859260063,0.0010628568459607182,0.0007239648414364615,0.00022702823631407266,-0.00044938800128969437,-0.0013250616319438848,-0.0024173807427397384,-0.003740641073814884,-0.005305399960550374,-0.007117912195034717,-0.009179670412179479,-0.011487068945803893,-0.014031205672256509,-0.016797831378974556,-0.01976745088365989,-0.02291557470415752,-0.026213114750956515,-0.029626912487336333,-0.03312038347041237,-0.036654258327222536,-0.040187397184902926,-0.04367765247680671,-0.047082753953965044,-0.050361189658045265,-0.053473057520059895,-0.056380864053434,-0.05905024918698067,-0.061450619481210306,-0.06355567562166049,-0.0653438240110112,-0.06679846631713536,-0.06790816481931752,-0.06866668519171581,-0.06907292185750934,-0.06913071414912939,-0.06884856415135547,-0.06823926923444541,-0.06731948386737108,-0.06610922631308436,-0.06463134624062558,-0.06291096915615293,-0.06097493289724535,-0.05885123032259607,-0.056568470859066244,-0.05415537185195384,-0.05164028881400174,-0.049050791780142496,-0.0464132931181877,-0.043752730362725284,-0.041092305951605214,-0.038453284163978085,-0.0358548441013599,-0.033313986243656064,-0.030845488983963543,-0.02846191063360957,-0.026173631717310103,-0.023988931955325855,-0.021914096143164544,-0.01995354316166235,-0.01810997254433805,-0.01638452335681257,-0.014776940570793462,-0.013285744613686673,-0.011908400318717925,-0.010641482064960867,-0.009480832457515298,-0.00842171243266985,-0.007458941163586764,-0.006587024579123026,-0.005800271690878249,-0.0050928982571615804,-0.004459117605427896,-0.0038932186926436967,-0.0033896317064473084,-0.002942981694131733,-0.0025481308450294596,-0.002200210142384261,-0.001894641150043905,-0.001627148725729414,-0.0013937654840641468,-0.0011908288990914,-0.0010149720597284193,-0.0008631092762687102,-0.000732417960894269,-0.0006203184256959652,-0.00052445339831523,-0.0004426690877131479,-0.00037299949553037135,-0.000313655343860984,-0.0002630184912351412,-0.00021964207558529327,-0.00018225591332323647,-0.00014977596009379884,-0.00012131596094222573,-9.619883933373891e-05,-7.396494569699925e-05,-5.4374056572774824e-05,-3.73980349430012e-05,-2.320137615886797e-05,-1.2107502525634431e-05,-4.549636425699251e-06,-1.0063435820217e-06,-1.9233217460314963e-06,-7.624608432119039e-06,-1.8217964739041985e-05,-3.3500624234914466e-05,-5.287274704563871e-05,-7.526667788274432e-05,-9.910038387736187e-05,-0.00012226317964561523,-0.00014214099453513468
1,-0.00017573806277671898,-0.00018190154346374551,-0.00017358324783193785,-0.000146868213292633,-9.818787882413545e-05,-2.4653885710114754e-05,7.557941625670367e-05,0.00020293964891196235,0.00035606679686896414,0.0005314696032618862,0.000723228988924654,0.0009227690842499034,0.001118714846611638,0.001296852481949066,0.0014402051186462104,0.00152923157501662,0.001542150838671945,0.001455389281272268,0.0012441419232056402,0.0008830335043365312,0.00034685997727356983,-0.00038861341568799645,-0.0013458248408353976,-0.002544589073754395,-0.004001301988014275,-0.005728206786529491,-0.0077327507224406195,-0.010017058072450707,-0.012577541039824952,-0.015404665299794987,-0.01848288130346856,-0.021790726478002797,-0.025301097344671324,-0.028981684557403856,-0.032795558169157774,-0.03670188527983076,-0.0406567578098815,-0.044614104654085066,-0.048526660034573336,-0.05234695857258142,-0.05602832745452967,-0.059525847039665375,-0.06279725324823618,-0.06580375794164096,-0.06851076708799154,-0.07088848060770013,-0.07291236221660723,-0.07456347213535826,-0.07582866003380552,-0.0767006198708617,-0.07717781224335961,-0.07726426337037792,-0.0769692528361118,-0.07630690463910726,-0.07529569790830751,-0.07395791481975891,-0.07231904377052076,-0.07040715574912722,-0.06825227112585269,-0.06588573284697398,-0.0633396003633736,-0.060646076684131876,-0.057836978851582295,-0.05494325999987733,-0.05199458906736008,-0.049018992231830816,-0.04604255824758945,-0.04308920809217019,-0.040180527691014045,-0.03733566100561339,-0.03457125948404472,-0.03190148282553778,-0.029338045236601787,-0.026890300868107342,-0.02456536190825096,-0.02236824283194083,-0.020302024527827426,-0.018368032394177284,-0.0165660229745897,-0.014894374262607021,-0.0133502754139839,-0.01192991224101898,-0.010628645497899929,-0.00944117957269361,-0.008361719758226055,-0.007384116767621759,-0.006501997588927422,-0.005708882144533546,-0.0049982855464225226,-0.0043638060264542195,-0.003799198873687459,-0.003298436922327967,-0.0028557582950295623,-0.0024657022113001538,-0.002123133724713598,-0.0018232582750609273,-0.0015616269647565151,-0.0013341335297498928,-0.0011370041033058218,-0.0009667810753036628,-0.0008203026101021708,-0.0006946796528821383,-0.000587272457669661,-0.0004956687363637493,-0.00041766539942263923,-0.0003512555094943066,-0.0002946215117082512,-0.00024613508532131786,-0.00020436314936572692,-0.00016807872476277085,-0.00013627457667093472,-0.00010817689375405278,-8.3255759082371e-05,-6.12288832726243e-05,-4.205505934401409e-05,-2.591411408723024e-05,-1.3170812713962262e-05,-4.321233491966799e-06,7.846403978409474e-08,-5.007213029297959e-07,-6.460805020994603e-06,-1.796964048422548e-05,-3.485328853817604e-05,-5.6496173294161514e-05,-8.175816933687609e-05,-0.00010891813011914357,-0.000135653119046396,-0.00015906169948233347
2,-0.0001926321505025258,-0.00020119562644683444,-0.00019429624321243925,-0.00016759638850060205,-0.00011710258539358944,-3.952865903271574e-05,6.730814436390153e-05,0.00020407530169791235,0.00036951760425846296,0.0005600764110167934,0.0007695586687837177,0.0009888784239528677,0.0012058918597338331,0.001405343940995277,0.0015689406679832395,0.0016755559275769495,0.0017015762285692783,0.0016213804838083703,0.001407945737804529,0.00103356362092557,0.0004706466317271703,-0.00030740160225495577,-0.001325281879836213,-0.0026048932865312944,-0.004164459109188304,-0.006017718284221427,-0.008173214064698136,-0.010633708381577615,-0.01339574594119699,-0.016449386693134792,-0.019778119193654683,-0.023358960855635078,-0.027162744381632464,-0.031154583076162264,-0.03529450147153371,-0.039538212016194826,-0.0438380136896638,-0.048143784521148106,-0.052404037253553526,-0.05656700590516747,-0.060581730764158605,-0.06439911036380282,-0.06797289112538009,-0.07126056846827702,-0.07422417708532364,-0.07683095255712111,-0.07905385131526986,-0.08087192094805688,-0.08227051777520995,-0.08324137332682309,-0.08378251570182631,-0.08389805564184576,-0.08359785045452063,-0.08289706159679387,-0.08181562374022117,-0.0803776444567243,-0.07861075426932555,-0.07654542671579834,-0.07421428731396834,-0.07165142897521841,-0.06889174960535951,-0.0659703255034051,-0.06292183186814818,-0.059780019380835325,-0.056577253544415444,-0.0533441212785274,-0.05010910721336595,-0.046898340198041025,-0.04373540874781879,-0.04064124252531926,-0.03763405552766778,-0.03472934548675948,-0.03193994312577112,-0.029276104369984332,-0.0267456383713044,-0.024354064234791938,-0.022104789579269736,-0.01999930446948388,-0.018037384780141223,-0.016217299658978824,-0.01453601842006104,-0.012989412893532696,-0.011572451954938405,-0.010279385625280298,-0.009103916745588157,-0.008039358770620912,-0.007078778692818443,-0.006215124509081918,-0.005441336994118265,-0.00475044585692657,-0.0041356506346505815,-0.003590386913611682,-0.003108378648619059,-0.00268367746950499,-0.002310689921164167,-0.001984193600420751,-0.0016993431660683293,-0.0014516672510381458,-0.001237057434636848,-0.0010517506527425728,-0.0008923067160651615,-0.0007555829171777005,-0.0006387079564024474,-0.0005390575185498412,-0.00045423371722982963,-0.0003820502572342598,-0.0003205245597168049,-0.00026787730205669587,-0.00022253892315047971,-0.0001831617216077972,-0.00014863530750512625,-0.00011810242318372056,-9.097158068207302e-05,-6.692262727419304e-05,-4.590130544306192e-05,-2.8099180494186305e-05,-1.3916017854796164e-05,-3.9028228140064875e-06,1.314719448750115e-06,1.1308292865716337e-06,-4.93134484016016e-06,-1.7101879032176843e-05,-3.524486982302347e-05,-5.874686029957298e-05,-8.64229236675102e-05,-0.00011645088200356979,-0.0001463439199104591,-0.00017297091698999042
3,-0.0002054028861873177,-0.0002163980750536033,-0.0002113297475715529,-0.0001855253814650546,-0.00013464276012151088,-5.505436942103492e-05,5.573154692444612e-05,0.0001986314193180782,0.0003725496663350171,0.0005739685454626783,0.0007965892408597903,0.0010310485759367487,0.0012647340184977077,0.0014817165678031098,0.0016628168152951332,0.0017858141645218607,0.0018258031400792732,0.001755694196103558,0.0015468497499181732,0.0011698396192488948,0.0005952939394591138,-0.00020517371057502846,-0.001258004539602345,-0.002586728670760309,-0.004211031148755716,-0.006145885618881434,-0.008400789635951686,-0.010979132200824302,-0.01387771944195445,-0.017086478628399585,-0.020588354214404695,-0.024359402668929,-0.02836908571707976,-0.03258075458086459,-0.03695231111171939,-0.04143702560907048,-0.04598448585891238,-0.050541647719508566,-0.055053954597865544,-0.05946649150692568,-0.0637251391014471,-0.06777769411720873,-0.07157492487370348,-0.07507153378215516,-0.0782270029284819,-0.08100630355219944,-0.0833804553857546,-0.08532692712644639,-0.0868298745722976,-0.08788021797696845,-0.0884755648128282,-0.08861998825663193,-0.08832367524195166,-0.08760246079463097,-0.08647726753702546,-0.08497347068090012,-0.0831202095088127,-0.08094966627322384,-0.07849633265927179,-0.07579628254230981,-0.07288646784976674,-0.06980405206488023,-0.06658579345193112,-0.06326748758441612,-0.05988347632410951,-0.0564662280864803,-0.05304599205266278,-0.0496505269474937,-0.04630490309978247,-0.043031374759767656,-0.03984931811844556,-0.03677522921436758,-0.03382277497669366,-0.031002890062206672,-0.02832391188616023,-0.025791746278801448,-0.02341005646127326,-0.02118046846668841,-0.01910278668633729,-0.01717521386287413,-0.015394570555822456,-0.013756509843964381,-0.012255723773501119,-0.010886138776211298,-0.009641097937387901,-0.008513528569665089,-0.0074960940425743,-0.006581329239870783,-0.0057617593854019196,-0.005030002308685288,-0.004378854517971644,-0.0038013617035121653,-0.003290874491769953,-0.002841090399667714,-0.002446082997085371,-0.002100319296088525,-0.0017986663864163633,-0.0015363883782631008,-0.001309134839253827,-0.0011129221431322002,-0.0009441094664648637,-0.0007993715196391185,-0.0006756703917249629,-0.0005702290276771468,-0.0004805087597549274,-0.0004041929415094654,-0.0003391780920828463,-0.00028357310820693144,-0.00023570612907897195,-0.00019413764131781866,-0.00015767747350194116,-0.00012540252109052865,-9.667141895628919e-05,-7.113199499287387e-05,-4.871725621517826e-05,-2.962594609661712e-05,-1.428442795227331e-05,-3.2878229344622437e-06,2.6800599932761315e-06,2.9465060688910592e-06,-3.034272696481846e-06,-1.5555105622958834e-05,-3.452750246926766e-05,-5.936049935313475e-05,-8.885740539375373e-05,-0.00012114167650086138,-0.00015362296572746755,-0.00018301345983711618
4,-0.00021310053976303963,-0.0002264960827969775,-0.0002236796356341311,-0.00019975343168644313,-0.00015012330047725785,-7.08943925295628e-05,4.069344965918301e-05,0.00018580927374287418,0.0003635756114136975,0.0005706385865921366,0.0008007892280683576,0.0010446614509835067,0.0012895304751970173,0.0015192323286768775,0.0017142206832236326,0.0018517718068484148,0.0019063421615930878,0.001850076424135205,0.001653456766474378,0.0012860774168273884,0.0007175221423984166,-8.168332444591726e-05,-0.0011390764429587922,-0.002479256320262347,-0.004122912792210462,-0.0060859233536220084,-0.008378553345373034,-0.011004791386246156,-0.01396184723250586,-0.01723983334127247,-0.020821644715166617,-0.024683044422095193,-0.028792954804388326,-0.03311394708791641,-0.037602915137868904,-0.04221191274396902,-0.046889128306577335,-0.05157996636524513,-0.0562282022457208,-0.060777174316478125,-0.06517097797881807,-0.0693556265230117,-0.07328014625365731,-0.07689757665179386,-0.08016585059191353,-0.083048534538055,-0.08551541396419639,-0.0875429147428436,-0.08911435669994698,-0.09022004074848027,-0.09085717582614616,-0.09102965615127605,-0.09074770298598013,-0.09002738809428024,-0.08889005835961322,-0.08736168254614989,-0.08547214192948945,-0.08325448648349892,-0.08074417752533637,-0.07797833627036171,-0.0749950157614365,-0.07183251127806138,-0.06852872177635932,-0.06512057231841861,-0.06164350493194265,-0.058131042956929016,-0.0546144316979117,-0.05112235609897027,-0.047680734191257956,-0.0443125832523436,-0.04103795401557138,-0.03787392694351498,-0.03483466359149737,-0.031931505463669296,-0.029173112493266734,-0.02656563331303344,-0.02411289975543458,-0.021816638470141557,-0.01967669311744075,-0.01769125125645768,-0.015857070771951542,-0.01416970144824316,-0.012623698072250236,-0.0112128221927728,-0.009930230345591429,-0.008768647151282498,-0.00772052220079401,-0.006778170075509549,-0.005933893224979086,-0.005180087764900515,-0.004509332566264827,-0.003914462275029287,-0.003388625112071087,-0.002925326439077327,-0.0025184591350996864,-0.0021623218306532892,-0.0018516260336572693,-0.0015814932091335217,-0.0013474429929104784,-0.001145373954874891,-0.0009715386658817572,-0.0008225152055895915,-0.0006951775818808491,-0.0005866677086551247,-0.0004943715163548902,-0.00041590139990615077,-0.0003490865496905197,-0.00029197182368986824,-0.0002428247984016869,-0.00020014958662699318,-0.00016270502335134215,-0.00012952396705641543,-9.992979772643958e-05,-7.354576764093139e-05,-5.029273977845334e-05,-3.0371104268863137e-05,-1.4223363948067626e-05,-2.4750639334115853e-06,4.146609229941923e-06,4.915200727514973e-06,-7.752905196359241e-07,-1.327926955666919e-05,-3.256504882188397e-05,-5.808683944387496e-05,-8.867432589139521e-05,-0.00012245152722559205,-0.00015679652360327763,-0.00018835271363028751
5,-0.00021481704482742342,-0.00023051621585136784,-0.00023037459765116,-0.0002093999112356588,-0.0001628627147088422,-8.669187374450538e-05,2.2088225755309923e-05,0.000164897219260173,0.00034113714050887313,0.0005477542875848219,0.0007788505422510684,0.0010253699877630063,0.0012748850580366845,0.0015115033881729812,0.0017159121648546065,0.0018655713157039093,0.0019350606019030445,0.0018965788871067282,0.0017205868556536572,0.001376577554654262,0.0008339526525798243,6.297656278843245e-05,-0.00096422410592286,-0.0022726516418664386,-0.0038834564771482146,-0.005813022209076913,-0.008072152279080796,-0.010665390819416124,-0.013590505391562823,-0.016838153430157474,-0.020391747489213102,-0.024227527173192813,-0.02831483821274959,-0.03261661178317645,-0.03709003012430529,-0.041687358064981625,-0.046356914440517774,-0.051044152854184184,-0.05569281796536198,-0.06024614161116009,-0.06464804262724394,-0.06884429518692259,-0.07278363271203996,-0.07641875775520654,-0.07970723250147232,-0.08261222945616228,-0.08510312723162813,-0.08715594187891745,-0.08875358970536429,-0.08988598277702918,-0.09054996316227935,-0.09074908630520317,-0.09049326763637716,-0.08979830957223837,-0.08868532837798856,-0.08718010193694756,-0.08531236025593171,-0.08311504053534909,-0.08062352787276,-0.07787490122640782,-0.07490720226961346,-0.07175874238752175,-0.06846746048861863,-0.06507034169006763,-0.06160290440649666,-0.058098760985226164,-0.05458925479531508,-0.05110317457693495,-0.047666544882139616,-0.044302489608619836,-0.04103116399926553,-0.03786974912604946,-0.03483250186300207,-0.031930852713324284,-0.029173543578820096,-0.026566797595552662,-0.024114513437302157,-0.02181847693905803,-0.01967858346413159,-0.017693065097572454,-0.01585871747365991,-0.014171121813781593,-0.012624858531858478,-0.011213709518825285,-0.009930846907967453,-0.008769006724296443,-0.007720646328816968,-0.006778084996745932,-0.005933627341595634,-0.005179669635554534,-0.004508789388134738,-0.003913818820011165,-0.003387903086428813,-0.0029245442444625464,-0.002517632015379181,-0.002161462386141066,-0.0018507450664354982,-0.0015806008286246825,-0.0013465498640261473,-0.0011444925219707151,-0.0009706841481291468,-0.0008217061469326238,-0.0006944357608928505,-0.0005860172721904619,-0.0004938372892467114,-0.0004155064278423975,-0.00034884903809356,-0.0002919017283685921,-0.00024292039566110372,-0.00020039439873519168,-0.000163065500284485,-0.00012994832726767104,-0.00010034840600209408,-7.387337009257672e-05,-5.043277709047568e-05,-3.0222180609081638e-05,-1.368776432925785e-05,-1.469000442564659e-06,5.6815613690226385e-06,7.000219006150887e-06,1.832297725530897e-06,-1.0235234563367645e-05,-2.9236736960882384e-05,-5.4696313938171404e-05,-8.551286656024192e-05,-0.00011987363440235638,-0.0001552080256836875,-0.00018819268132674307
6,-0.00020971046631759803,-0.0002275506225046481,-0.00023050226701218487,-0.00021362897759714803,-0.00017220136909726051,-0.00010207917801419304,-1.3613074220873934e-07,0.00013529016902426918,0.00030394470847044074,0.0005032219007818409,0.0007277782071331872,0.0009692159743715143,0.001215862455864468,0.001452665088144443,0.0016612199039668213,0.001819944688645425,0.0019044023978754942,0.0018877737431702154,0.0017414710135075966,0.0014358784376294175,0.0009411980041260819,0.0002283739586818178,-0.0007299354936899481,-0.0019583741399914812,-0.0034779280592784766,-0.005305027103428327,-0.0074507428031574665,-0.009920114738577674,-0.012711632808397651,-0.015816897115055933,-0.019220470667861516,-0.02289993309597077,-0.026826136336205664,-0.030963656075075553,-0.035271425830483365,-0.039703534210131265,-0.044210160334703597,-0.04873861790197599,-0.05323447508816052,-0.05764271556318219,-0.06190890538354987,-0.06598033138340254,-0.06980707880184737,-0.0733430190976249,-0.07654668300678728,-0.07938199866867932,-0.08181887984296667,-0.08383365463019131,-0.0854093304685287,-0.08653569631401231,-0.0872092676596507,-0.0874330842891479,-0.08721637430815017,-0.08657410099189042,-0.08552641129004457,-0.08409800640184521,-0.08231745564834574,-0.08021647491219681,-0.07782919020965917,-0.07519140557500427,-0.0723398924988683,-0.06931171583872398,-0.06614360859816591,-0.06287140542118956,-0.059529542188385826,-0.05615062679127398,-0.05276508400179579,-0.04940087532251641,-0.04608329278317172,-0.04283482385789317,-0.039675083070430495,-0.03662080451029291,-0.03368588847286255,-0.030881494799019554,-0.028216175214807807,-0.025696037007255795,-0.023324930645075372,-0.021104654391507178,-0.019035169508981514,-0.017114820291146304,-0.015340553859171949,-0.013708135406680049,-0.012212355341210278,-0.010847225510060116,-0.009606162374815482,-0.008482155585052166,-0.007467920892148875,-0.006556036754400204,-0.005739064341242777,-0.005009650970931001,-0.004360617321054724,-0.0037850290246651225,-0.0032762534831104,-0.0028280028664928445,-0.002434364325280566,-0.0020898184189223554,-0.0017892467234062028,-0.0015279295715035252,-0.0013015349680728632,-0.0011060999457624895,-0.0009380059782233015,-0.0007939504916659628,-0.0006709169109738056,-0.0005661459237347346,-0.00047711063831100517,-0.0004014979895020124,-0.0003371981098995844,-0.0002823025001783125,-0.00023511080057297422,-0.00019414490106954378,-0.00015816812454503082,-0.00012620634218467143,-9.756718003457724e-05,-7.185299353447255e-05,-4.896308274978724e-05,-2.9080773275599744e-05,-1.2641578648871237e-05,-2.7974612758135183e-07,7.247931255378334e-06,9.160152793214576e-06,4.767842866939014e-06,-6.395921620023926e-06,-2.4440490928282438e-05,-4.8986290675987974e-05,-7.904845416532578e-05,-0.0001129470821707782,-0.00014825578976740883,-0.00018179944716426244
7,-0.00019702818624422555,-0.00021678198024938108,-0.00022323422457241136,-0.00021167238984739668,-0.0001775193573450977,-0.00011668761142863689,-2.5976053572989876e-05,9.650690042766071e-05,0.00025091380225075526,0.0004352447199977895,0.0006449738205947519,0.0008727401099964337,0.001108125218061109,0.0013375385102299222,0.0015442259613965281,0.001708414340792556,0.0018075965817135802,0.001816958019791014,0.001709936755297358,0.0014589050045212932,0.0010359522331563503,0.0004137454037008235,-0.0004335628783608518,-0.0015294108760060701,-0.00289392333583174,-0.004543060935072201,-0.0064878569288559325,-0.00873377146074304,-0.011280189755642506,-0.014120085108106485,-0.017239861509744457,-0.020619384212816942,-0.024232199760820538,-0.02804594026694143,-0.03202290021769804,-0.036120768058737734,-0.040293489524990164,-0.04449223533915399,-0.04866644271365282,-0.052764898180864696,-0.056736828694377704,-0.060532968659313346,-0.06410657246117431,-0.06741434501563302,-0.07041726666534132,-0.07308129319145282,-0.07537791656410775,-0.07728457710506641,-0.07878492276651648,-0.07986891605633097,-0.08053279360912254,-0.08077888740016285,-0.08061532004704998,-0.0800555894893214,-0.07911806054008029,-0.0778253823314501,-0.07620385149594967,-0.07428274102045838,-0.0720936140905987,-0.06966964097143899,-0.06704493516168912,-0.06425392287619959,-0.06133075753922116,-0.05830878857613929,-0.05522009149293225,-0.0520950640841359,-0.048962091608424366,-0.045847281884577484,-0.04277426946628728,-0.039764086364483864,-0.0368350952556415,-0.034002979824817973,-0.0312807859191334,-0.028679006572552488,-0.026205703698160526,-0.023866659277587444,-0.021665549134395223,-0.019604132788004113,-0.01768245339698489,-0.015899042388859107,-0.014251124024744512,-0.01273481584602382,-0.011345321669053488,-0.010077114493163711,-0.008924107325803269,-0.007879810478356989,-0.006937474341056858,-0.006090217021917313,-0.005331136561276172,-0.004653407735879357,-0.004050363754295789,-0.0035155634081801283,-0.003042844456142745,-0.002626364152100562,-0.002260627875887638,-0.001940506794806722,-0.001661245423767469,-0.0014184599218313605,-0.0012081280289536643,-0.0010265717510185395,-0.0008704342436723232,-0.0007366527730932641,-0.0006224300457911043,-0.0005252064783587111,-0.00044263601184461236,-0.0003725677987143253,-0.0003130355021603025,-0.0002622551095682663,-0.0002186311770646804,-0.00018077040193331507,-0.00014750045675238714,-0.00011789117476362279,-9.12744886054172e-05,-6.725903045325251e-05,-4.5735055201117035e-05,-2.686542766853843e-05,-1.1058906810170978e-05,1.0770704314808894e-06,8.805445667145779e-06,1.1349896804397334e-05,8.003796926896287e-06,-1.747176241714457e-06,-1.8095861823811933e-05,-4.078676828735761e-05,-6.900180715161718e-05,-0.00010126962563896144,-0.0001354096613270342,-0.00016852142938184305
8,-0.00017612813242774946,-0.00019750645055525423,-0.00020784914368856161,-0.00020285081084073182,-0.0001782534533037942,-0.0001301571072774757,-5.5371601950538394e-05,4.820472030129605e-05,0.00018119679898356925,0.00034237517622208636,0.0005283103683310958,0.0007330811423408226,0.0009480576158022595,0.0011617779150013688,0.0013599338043340384,0.0015254764182513485,0.001638848212158259,0.0016783417434486382,0.0016205801424308381,0.0014411083758881311,0.0011150788888114205,0.0006180101931019027,-7.340726738975308e-05,-0.000980486832726779,-0.0021217336760650115,-0.003512076383770219,-0.005162172215172055,-0.007077813728472674,-0.00925946077148054,-0.011701917175946666,-0.014394166135129659,-0.017319372441993636,-0.020455053746046947,-0.023773416953552586,-0.02724185004790971,-0.030823554154469836,-0.034478295838163586,-0.038163255619188124,-0.04183394570584779,-0.04544516810071161,-0.048951983588858265,-0.052310662641929906,-0.05547959088064814,-0.05842010429416254,-0.06109723274725463,-0.06348033422630822,-0.06554360658240281,-0.06726646802445532,-0.06863380210625614,-0.0696360672689935,-0.07026927500710352,-0.07053484431783168,-0.07043934320517284,-0.06999413059229198,-0.06921491401966956,-0.0681212399364789,-0.06673593419666693,-0.06508451052390817,-0.06319456421261274,-0.061095167232543116,-0.05881627930489387,-0.056388187568914235,-0.053840985334360186,-0.051204098276805415,-0.04850586439307196,-0.04577317214066011,-0.043031159428034316,-0.04030297446281452,-0.0376095978716694,-0.03496972398605791,-0.032399697794348654,-0.02991350287460897,-0.027522794721987195,-0.025236973314556467,-0.02306328851608348,-0.021006971943029373,-0.019071389153249046,-0.017258206376610907,-0.015567566456914265,-0.013998269188961151,-0.012547951807153415,-0.011213266002492372,-0.009990048489193418,-0.008873482772162143,-0.007858250341203216,-0.006938670008072915,-0.006108824502138605,-0.005362673766364082,-0.00469415467737862,-0.004097267178546297,-0.003566147073988529,-0.003095125973696407,-0.0026787790783461517,-0.002311961617829026,-0.0019898347942368523,-0.0017078820388028776,-0.001461916313603939,-0.0012480791351952973,-0.001062832035257649,-0.000902941349736396,-0.0007654575487070586,-0.0006476907377128892,-0.0005471843835026719,-0.00046168962364642263,-0.00038914259968905496,-0.00032764703894993977,-0.0002754637957038445,-0.00023100830596479118,-0.00019285601027521106,-0.00015975486289447922,-0.00013064315986009454,-0.00010467013560381232,-8.12161265291415e-05,-5.9908606655353505e-05,-4.063011209043126e-05,-2.351406290732137e-05,-8.924852440756733e-06,2.580622199408247e-06,1.0311547162439902e-05,1.3521776563491703e-05,1.150633147491701e-05,3.711659504377654e-06,-1.014648063648788e-05,-2.9965359497853976e-05,-5.5146996149747275e-05,-8.450920142077267e-05,-0.00011622609719762272,-0.00014780783487068757
9,-0.00014649744395437293,-0.00016915398277587824,-0.00018375340840152575,-0.00018659297636213862,-0.00017391264771713012,-0.000142145580096787,-8.820680570055043e-05,-9.808900074832002e-06,9.420952643843015e-05,0.00022355903380715536,0.0003761962881819544,0.0005480612844467922,0.0007328728588484909,0.0009219988723013689,0.0011044148366208236,0.0012667613109501627,0.0013935063018416618,0.0014672143591219378,0.001468919268888493,0.0013785923972689821,0.0011756940311378743,0.0008397907104716763,0.0003512177901327365,-0.000308236445706534,-0.0011546506421115006,-0.0022013203569582135,-0.0034581636710846035,-0.0049312060593318715,-0.006622165231739066,-0.008528152890291319,-0.010641505977641512,-0.01294975523413248,-0.015435733910220526,-0.018077824462529368,-0.020850336150869328,-0.023724001823372493,-0.026666578017530165,-0.02964352900869874,-0.032618772773228784,-0.03555546511993266,-0.03841679753504334,-0.04116678456891318,-0.04377101779697639,-0.04619736540038149,-0.04841659909302603,-0.050402933314414304,-0.05213446514532826,-0.05359350711704356,-0.054766808812660724,-0.055645666756297736,-0.056225925434755415,-0.05650787531152773,-0.05649605631961362,-0.05619897752339801,-0.05562876539466594,-0.054800754424325394,-0.053733034554707494,-0.05244597013541381,-0.05096170476766832,-0.04930366553823037,-0.04749607883761781,-0.04556350834079305,-0.04353042395907179,-0.041420808797139975,-0.03925780947153985,-0.03706343360659328,-0.034858296903023694,-0.03266142082694394,-0.030490080654366633,-0.028359702329538227,-0.026283805402004683,-0.024273988276526357,-0.022339951220430528,-0.020489552071087512,-0.01872888936924509,-0.017062407665148913,-0.015493019934958245,-0.014022242341222848,-0.012650336932906698,-0.011376458293329046,-0.010198800608080701,-0.00911474213563721,-0.008120984601595348,-0.007213685567976066,-0.006388582311988066,-0.005641106155209514,-0.0049664865079047625,-0.00435984415103391,-0.003816273500662978,-0.0033309138137689377,-0.0028990095123638134,-0.0025159600139076097,-0.0021773596324477246,-0.0018790282252472115,-0.0016170332847254558,-0.0013877041216575614,-0.0011876386890679455,-0.0010137035169153572,-0.0008630272320787422,-0.0007329882768851707,-0.0006211977251996579,-0.0005254784900811873,-0.0004438426356740036,-0.000374468835322655,-0.0003156821497441237,-0.00026593816375064885,-0.0002238131078232174,-0.0001880009527806834,-0.00015731769282849298,-0.0001307122227349577,-0.0001072824451361413,-8.629455578497297e-05,-6.720286404211443e-05,-4.9667027465215334e-05,-3.3563250106888674e-05,-1.8985883684792386e-05,-6.236068846629021e-06,4.2053603746322805e-06,1.1722478335862414e-05,1.5626751471178798e-05,1.5236105690512462e-05,9.967481458284297e-06,-5.619683360897626e-07,-1.643142488554815e-05,-3.731829412552175e-05,-6.241383801647017e-05,-9.036126415718174e-05,-0.0001192247910227495
