,0
0,0.0
1,0.5082350823722249
2,1.0161585907408877
3,1.523709523489952
4,2.0309027673202933
5,2.5378043797026555
6,3.0443157130570553
7,3.550563643391984
8,4.056571467484883
9,4.561866565408972
10,5.066770284951275
11,5.571622916705041
12,6.076258905413181
13,6.580563966818472
14,7.084600475460898
15,7.5878753370367775
16,8.091173208457786
17,8.59408456670863
18,9.09638688299909
19,9.598533150475618
20,10.100690576223805
21,10.601782302544926
22,11.102496292116882
23,11.60337199037495
24,12.10408740569099
25,12.604087936655734
26,13.104347024123058
27,13.60332133098493
28,14.103054848545316
29,14.602050392726952
30,15.100159233155306
31,15.59799710685641
32,16.095851470068823
33,16.593067873849588
34,17.08971545261069
35,17.586552800568157
36,18.083146517351675
37,18.578692982603762
38,19.074874194356227
39,19.56982213347702
40,20.065990724401015
41,20.56095630732976
42,21.054889256417376
43,21.548265524700582
44,22.04127624914028
45,22.534943822878756
46,23.027793775155985
47,23.520606342704113
48,24.01311035873509
49,24.504040694721102
50,24.995804229293036
51,25.487300545950824
52,25.979982780346774
53,26.471028982775678
54,26.96105520465261
55,27.45018538068149
56,27.938231029909566
57,28.428555856610732
58,28.91799710577488
59,29.40694009311224
60,29.89532592111609
61,30.38153813649247
62,30.86817139514909
63,31.35674965973333
64,31.84558941668529
65,32.33279046924294
66,32.81856102282741
67,33.302933436725205
68,33.78616937748309
69,34.27258403357303
70,34.75881367761554
71,35.24384223392465
72,35.7275886476592
73,36.20918921896099
74,36.690308294877056
75,37.17594173694113
76,37.66060839844671
77,38.1437927672125
78,38.625300583291434
79,39.10446628473673
80,39.58326409955505
81,40.06499517522616
82,40.54806712254834
83,41.02877533284149
84,41.50768701200096
85,41.98457049759263
86,42.46009772501571
87,42.942281150923975
88,43.422458041820185
89,43.90152998284287
90,44.37844011466865
91,44.85209301179039
92,45.32634195696322
93,45.802876226866694
94,46.28254238636081
95,46.7587394623872
96,47.23226383849999
97,47.70409208356406
98,48.17456901799323
99,48.651895486720576
100,49.12726714907975
101,49.60157763447855
102,50.073501373372196
103,50.54145137879096
104,51.01096939980609
105,51.48148064319278
106,51.95704532565141
107,52.427977615104275
108,52.896053926627886
109,53.361822647828255
110,53.82759141718061
111,54.2984503461839
112,54.76861935972275
113,55.237030238681584
114,55.703455002361366
115,56.16526712197767
116,56.62883444881156
117,57.093817132575346
118,57.5633803586963
119,58.02869366392522
120,58.489956223648655
121,58.948704069508565
122,59.41007763961841
123,59.87293083851391
124,60.33653467805457
125,60.79863904423395
126,61.25834166656543
127,61.713515325687894
128,62.16959365340733
129,62.62864547995407
130,63.089834821320494
131,63.54860241118476
132,64.00204639594205
133,64.45271323579446
134,64.90817077623473
135,65.36219156518017
136,65.81759088380451
137,66.27199037356267
138,66.72361165118117
139,67.1710179705526
140,67.6186651162337
141,68.06982317254909
