,0
0,0.0
1,0.02139956598056908
2,0.04279242472006872
3,0.06418816595971895
4,0.08557531867219983
5,0.10695375893918645
6,0.12831926194764703
7,0.14966942648375053
8,0.171091865617726
9,0.19249420343622226
10,0.21389183623354158
11,0.2352684668018791
12,0.2566335682788423
13,0.27795633537449593
14,0.29940239305312766
15,0.32087388479569434
16,0.3423060814554628
17,0.3637138657013197
18,0.3850950816672284
19,0.4064331704298476
20,0.4279279157152758
21,0.44938042517656684
22,0.47083269711750975
23,0.4922395710578855
24,0.5136144427775753
25,0.5349580314824822
26,0.5564270730005192
27,0.5779783306593206
28,0.5994673749785449
29,0.6209184851858993
30,0.6423381576895132
31,0.6637157482369804
32,0.6852941009701442
33,0.7068237678735101
34,0.7283512474636253
35,0.7498186383727412
36,0.7712400349321928
37,0.7926640389953143
38,0.8141914161028665
39,0.8358632264970656
40,0.8574527097003732
41,0.8789878316027762
42,0.9004885156277516
43,0.9219488428783928
44,0.9436525223477323
45,0.9653032451007497
46,0.9869504614110365
47,1.0085263818285017
48,1.0300372288139772
49,1.0515872939429407
50,1.0732363242974647
51,1.0950654620545062
52,1.1168053137172187
53,1.1384731233296037
54,1.1601082391428668
55,1.1817019309210064
56,1.203592157193588
57,1.2254252147982252
58,1.2472547941756842
59,1.26900886709489
60,1.2906790477558614
61,1.3124307118278122
62,1.3342873590726527
63,1.3563580817736645
64,1.3783397391433456
65,1.4002347928063903
66,1.4221066876225477
67,1.4439350423453579
68,1.4661247255419037
69,1.4882567113935083
70,1.5103876384941262
71,1.532446919060068
72,1.5544048006299653
73,1.5764919476959558
74,1.5986972137726343
75,1.6211537606845587
76,1.643526871765944
77,1.6658010928607034
78,1.688069718132773
79,1.7102912212660477
80,1.7329496750530184
81,1.7555533679410313
82,1.778161585595605
83,1.800710551530138
84,1.8231426849013164
85,1.845758766306456
86,1.8685137009081902
87,1.8915629281378872
88,1.9145423718527128
89,1.9374155249309557
90,1.9603115795226707
91,1.983161577670757
92,2.0065346133714783
93,2.0298644619186557
94,2.0532129072170826
95,2.0765271929926783
96,2.099716005823827
97,2.1231558356215543
98,2.1467712115767625
99,2.170730645423446
100,2.1946442372488875
101,2.2184577137788
102,2.2423385824838507
103,2.2661835666521233
104,2.2906601330141783
105,2.3151062165027545
106,2.3396036725474563
107,2.3641095258546736
108,2.3884928899017366
109,2.413211056203111
110,2.438164802387718
111,2.4635171916471785
112,2.4888650917246147
113,2.5141370547334296
114,2.539540978809576
115,2.5649328032049867
116,2.5910854605860285
117,2.617238759854202
118,2.6434922472872198
119,2.6698189906893015
120,2.6960432300037924
121,2.7227074504282163
122,2.749689318181569
123,2.7771438814970364
124,2.804659875075977
125,2.832144097379343
126,2.8598512312941473
127,2.8875955990559268
128,2.9162445075034653
129,2.944958242761955
130,2.973844164503868
131,3.0028971390761123
132,3.031892236597505
133,3.0614607676361523
134,3.0914586746304065
135,3.122030806149442
136,3.152762620888055
137,3.1835347198602255
138,3.2146549010263157
139,3.245891196228459
140,3.2782061493987116
141,3.310686903423748
142,3.3434430195675118
143,3.376496787386306
144,3.4095693903262747
145,3.4433873286741066
146,3.477779802749757
147,3.5128854818142856
148,3.5482883204969733
149,3.583839422907622
150,3.6199051052280726
151,3.656204076551689
152,3.69379188187765
153,3.731691415079674
154,3.770008155657503
155,3.808797408191661
156,3.847721827313321
157,3.8876088281435606
158,3.928257807644986
159,3.969802203134046
160,4.011828458915261
161,4.054154294855203
162,4.09720980504342
163,4.140661089157506
164,4.185655459234764
165,4.2311593948821375
166,4.2772684217511525
167,4.324075680827077
168,4.371184966084764
169,4.41951951349912
170,4.468854456112411
171,4.519317472301699
172,4.570502209508657
173,4.622184411350332
174,4.674866723551741
175,4.728160226450598
176,4.783295335923089
177,4.839196840768303
178,4.8959415399065955
179,4.953665736168004
180,5.011909170354304
181,5.071695708525124
182,5.132770239137165
183,5.195259041227553
184,5.258765578590312
185,5.3230152036275085
186,5.388591954517986
187,5.455046929751871
188,5.523687648114075
189,5.5934075735093565
190,5.664257780655049
191,5.736421238514938
192,5.809369076294693
193,5.884228361823946
194,5.9607094016700835
195,6.038939806065205
196,6.118532782620749
197,6.199156160315405
198,6.281482856632475
199,6.364999338891566
200,6.451082687911525
201,6.538605091288661
202,6.627583200934885
203,6.718247624478572
204,6.8099991811877985
205,6.9040672395072225
206,7.000125134423254
207,7.098301728759554
208,7.198215186375192
209,7.2994760187360335
210,7.402845589062947
211,7.507743091357204
212,7.615606783513975
213,7.725296786210168
214,7.836779412402699
215,7.950342791673066
216,8.065318634284157
217,8.183006847778524
218,8.303072287109881
219,8.425633168944191
220,8.55030318003961
221,8.676641909554515
222,8.805490872743183
223,8.936197826475034
224,9.07025937463798
225,9.206525780817056
226,9.344899569975386
227,9.485731886316877
228,9.628276117900022
229,9.77390056817065
230,9.922258395006708
231,10.073451634407691
232,10.227088193936252
233,10.382671821751577
234,10.541116162310919
235,10.701570627396734
236,10.865487822372183
237,11.031792516264264
238,11.200337938176657
239,11.371538554769671
240,11.544563110936757
241,11.720714317738071
242,11.899546581757077
243,12.081232381353214
244,12.265355851229058
245,12.451400376459997
246,12.640326667281775
247,12.831239205299966
248,13.025564137221785
249,13.222292270900303
250,13.421162575937167
251,13.622623152494189
252,13.82581377060753
253,14.03201331310002
254,14.24080930038179
255,14.452304979208263
256,14.666112067940443
257,14.881626454104376
258,15.099837994956275
259,15.319825212224444
260,15.542991691876606
261,15.768325584332125
262,15.995498962273066
263,16.22496662880546
264,16.455847987046795
265,16.68934680077672
266,16.92505373801002
267,17.162959456310645
268,17.402798739349333
269,17.64394636580441
270,17.887406256923576
271,18.13220823272126
272,18.3797465492611
273,18.628920716329826
274,18.879430950959303
275,19.131865730662746
276,19.385256496753406
277,19.64082898508424
278,19.898172096591434
279,20.157231509375357
280,20.417750744466712
281,20.679028928869
282,20.94212526085726
283,21.205992549626075
284,21.472042703439474
285,21.739178552668214
286,22.007003785863176
287,22.27617835363081
288,22.54565687085138
289,22.816677011461866
290,23.08881966176633
291,23.361994554742772
292,23.63595501110821
293,23.90991246337783
294,24.1849960335377
295,24.46009426000556
296,24.736623001107663
297,25.013506058462518
298,25.290247440435326
299,25.567568933990493
300,25.844346951719167
301,26.121825735181623
302,26.399607036782776
303,26.677564293255358
304,26.955471574462585
305,27.232457981883364
306,27.509686401932655
307,27.786025937423698
308,28.06288357333473
309,28.33921111617407
310,28.614423131016462
311,28.88928074945699
312,29.162612594670836
313,29.435675631160088
314,29.708093869369197
315,29.9797026546729
316,30.250318531821424
317,30.51896935616487
318,30.786872549791042
319,31.052883273725392
320,31.31840106696883
321,31.582422786101272
322,31.844262505150027
323,32.10474633735502
324,32.362665762076496
325,32.61928290691454
326,32.874247278975
327,33.12736020860534
328,33.37849994075739
329,33.62659764839114
330,33.87291798941646
331,34.11632612981058
332,34.358208590610275
333,34.59762896238162
334,34.833797837304544
335,35.06762442577234
336,35.29786161168224
337,35.525784568999256
338,35.75109669212418
339,35.973548662602056
340,36.193098456140376
341,36.40858948941938
342,36.621334744595835
343,36.83022624587051
344,37.036643326734676
345,37.2397217208605
346,37.43857371996771
347,37.63420390109306
348,37.82533598846167
349,38.01325591851053
350,38.19774045241409
351,38.37848356279157
352,38.55554819912908
353,38.72769306856145
354,38.89627773260313
355,39.06022624299455
356,39.220930736733656
357,39.3776089035856
358,39.52926972134331
359,39.677028230577015
360,39.81958056505369
361,39.9580264423669
362,40.09203099253665
363,40.221350635036586
364,40.34625458951752
365,40.465449597153594
366,40.58026451222245
367,40.68960434404475
368,40.79448289906422
369,40.89458179405755
370,40.98869904951784
371,41.07821789332143
372,41.16172503607555
373,41.240439943348235
374,41.31411700927197
375,41.38255385735251
376,41.44593077598989
377,41.503146691786455
378,41.555464594632745
379,41.60193454399129
380,41.643775995636865
381,41.68138795890183
382,41.72440326778345
383,41.77043090887572
384,41.816780131330944
385,41.86421605667463
386,41.91256147327855
387,41.96320045298315
388,42.02723689468198
389,42.104631049157234
390,42.1873369207659
391,42.2700191618962
392,42.35383521325093
393,42.440073630618286
394,42.53908812327759
395,42.65149426447438
396,42.768666641486995
397,42.886409047564925
398,43.00448054340215
399,43.12499819549605
400,43.257972809178504
401,43.40323058623318
402,43.55411302352849
403,43.70449834028866
404,43.85499325536728
405,44.00773857796376
406,44.172190676614406
407,44.34822672492297
408,44.52951770538051
409,44.71026938917578
410,44.89037984957378
411,45.0725307782887
412,45.2656434751783
413,45.46884481534649
414,45.67804112878853
415,45.885318077589346
416,46.091207141560574
417,46.29859238031278
418,46.516199719234635
419,46.74333878016929
420,46.97594690178167
421,47.206610239464496
422,47.43527903864151
423,47.6653961644612
424,47.905063695984325
425,48.15267462971176
426,48.40666303702734
427,48.65771971161587
428,48.90626032477854
429,49.155870125899895
430,49.41434510239436
431,49.680071645716446
432,49.95172009891857
433,50.220131274556465
434,50.48532636189408
435,50.75165312324015
436,51.025866230747944
437,51.305919657092055
438,51.59257339338477
439,51.875132063602095
440,52.15379677479762
441,52.43325430980041
442,52.71984643446991
443,53.01141650532891
444,53.3091720445326
445,53.60260521419432
446,53.89135401807852
447,54.18080176823161
448,54.47655559379616
449,54.776242281900814
450,55.08199878916194
451,55.382906046747834
452,55.67873374600218
453,55.97497220006395
454,56.27639382664506
455,56.580970153955974
456,56.891178371925186
457,57.1964686871917
458,57.495983297180395
459,57.79560075059276
460,58.09996247004169
461,58.406477655306276
462,58.718120027574344
463,59.02462100338809
464,59.324885885060525
465,59.625424063150476
466,59.929309930639185
467,60.23475278736261
468,60.54474688195572
469,60.849701531118725
470,61.14784950551585
471,61.44589655700434
472,61.74710732512636
473,62.04888787372716
474,62.35468861991417
475,62.65531844230561
476,62.94875471958076
477,63.2424301383535
478,63.53813497248284
479,63.83384981014326
480,64.1329171312387
481,64.4270870324369
482,64.71355700827397
483,65.00016507517095
484,65.2881435336983
485,65.5758516958087
486,65.8663789782705
487,66.15176273514693
488,66.42926580730519
489,66.70707150316278
490,66.985884628962
491,67.26353141181349
492,67.54360150936355
493,67.81888529923529
494,68.08567966390132
495,68.3531148239765
496,68.62053349279569
497,68.88692106544244
498,69.15517439708034
499,69.41882792828659
500,69.67378057368857
501,69.92936376777908
502,70.18497224662545
503,70.43865089331199
504,70.6937720238426
505,70.94502917548859
506,71.18709626796154
507,71.43009025110707
508,71.67215239256238
509,71.91263820583825
510,72.15411471657507
511,72.3919413217926
512,72.62111722350645
513,72.85043345569764
514,73.0787203771018
515,73.30447371511012
516,73.53071833568976
517,73.75435298092356
518,73.96868858462061
519,74.1833099733426
520,74.3960157386633
521,74.60633761181494
522,74.8166620017531
523,75.02437022362582
524,75.22366712343806
525,75.42322458887467
526,75.62022090453425
527,75.81442878947904
528,76.00833219243988
529,76.20083798330243
530,76.38425188263147
531,76.56784905723362
532,76.74929223747262
533,76.92733616906114
534,77.10447600726577
535,77.28024120662937
536,77.44838236643439
537,77.61678344245263
538,77.78187145958381
539,77.94317660027643
540,78.10355605961924
541,78.26366544753961
542,78.41472089696609
543,78.56618992000782
544,78.71570237866771
545,78.86103307957599
546,79.0045073919614
547,79.14794745280854
548,79.28453337743618
549,79.42173558983207
550,79.55566371795088
551,79.68589370121852
552,79.81476161301535
553,79.94444292179627
554,80.06637864465694
555,80.18944916362447
556,80.3108635960377
557,80.42828645547863
558,80.54283065274282
559,80.65874348169646
560,80.76926195852941
561,80.8808345458462
562,80.98928639034263
563,81.09471837084665
564,81.19804907995962
565,81.30268138659926
566,81.40120416450766
567,81.50155879829785
568,81.60064973114713
569,81.6959919226123
570,81.78791040787512
571,81.88165064936547
572,81.97186319694194
573,82.06325921785029
574,82.1517780018243
575,82.2381001092274
576,82.32221564543042
577,82.40700416276366
578,82.48751538529191
579,82.57058997790581
580,82.65278246245317
581,82.73119819129342
582,82.80627822958179
583,82.88296060501013
584,82.95805031210706
585,83.0342845889169
586,83.10783382829014
587,83.17983741787478
588,83.250174353958
589,83.31994560508159
590,83.38704981003926
591,83.45746421531061
592,83.52730232736609
593,83.59346432404747
594,83.65624355151307
595,83.72020030376049
596,83.78444995910735
597,83.84963426110242
598,83.91229174332152
599,83.97379856403207
600,84.03438077639547
601,84.09342421322414
602,84.15077722346082
603,84.21200767328115
604,84.27299694423367
605,84.3304601529462
606,84.38430839080922
607,84.43929143706309
608,84.49569943884089
609,84.55309335767731
610,84.60781258171018
611,84.66176502196548
612,84.71538043859196
613,84.76679971737933
614,84.81726703667007
615,84.87161368905663
616,84.92606637202182
617,84.97739402531602
618,85.02490982991287
619,85.07334473408477
620,85.12391055644855
621,85.17564658011136
622,85.22473017195185
623,85.27303127135086
624,85.32110576529584
625,85.36714330109139
626,85.41264379733138
627,85.46173379083315
628,85.51082545650027
629,85.55766218179633
630,85.6006746914154
631,85.64390587777297
632,85.68958503104416
633,85.73704452848482
634,85.78190726071833
635,85.8256970451627
636,85.86900306162659
637,85.91100952330639
638,85.95271209961903
639,85.9973022301942
640,86.04150865745466
641,86.08473223022979
642,86.12430088590234
643,86.16333609364865
644,86.20448327427148
645,86.24813102080063
646,86.28949327942212
647,86.32928926974307
648,86.36853276203601
649,86.40646022818918
650,86.44488542301822
651,86.48544825087156
652,86.52515534164961
653,86.56458811650894
654,86.6011621046723
655,86.63626785910704
656,86.67320083188304
657,86.71250437810487
658,86.75079103238345
659,86.78696699808802
660,86.82225207821634
661,86.85538877344791
662,86.89091014342401
663,86.92764700834095
664,86.96326827201536
665,86.99827772671821
666,87.03224483730037
667,87.06346924193595
668,87.0963839780131
669,87.13096701037011
670,87.16650324919493
671,87.19969204028985
672,87.23151997140339
673,87.25968398893299
674,87.29227736651006
675,87.32581634421601
676,87.35784710252369
677,87.38875562904502
678,87.41984183302296
679,87.44716112181138
680,87.47631915131232
681,87.50639809369966
682,87.5383442859981
683,87.56863461926129
684,87.59699013967031
685,87.61992140436539
686,87.64841133395423
687,87.67891718028577
688,87.70719562059764
689,87.73400791897168
690,87.76060439584151
691,87.78419327514483
692,87.80957577473089
693,87.8353154181267
694,87.86262338592039
695,87.89015069781475
696,87.91465543745136
697,87.9327427246491
698,87.95647841677851
699,87.98346701207039
700,88.00857665281296
701,88.03181961848333
702,88.05328705315918
703,88.07254332272908
704,88.09444337327453
705,88.11633181319371
706,88.1394631452608
707,88.16358375703665
708,88.18388072692642
709,88.19777133423216
710,88.21737849583272
711,88.23990325109799
712,88.26261695062519
713,88.28276562829677
714,88.29912839465221
715,88.31316338713006
716,88.33254509144685
717,88.35163810180615
718,88.37120243928914
719,88.39064093893631
720,88.40717771729226
721,88.41792266947517
722,88.43414709207224
723,88.45271213458348
724,88.47292070058744
725,88.48982660012956
726,88.50200624504362
727,88.51180909567853
728,88.52827443898894
729,88.54561452875511
730,88.56300663321133
731,88.57753648713725
732,88.58958615052222
733,88.59856693559698
734,88.61253624023519
735,88.6281418681514
736,88.64471738439671
737,88.65924731542336
738,88.6684472516098
739,88.67527324078374
740,88.68831512173796
741,88.70519793466208
742,88.7202554898741
743,88.73123801270647
744,88.73927683767471
745,88.7469903724911
746,88.76010740177006
747,88.77428309920981
748,88.78670493803267
749,88.798880654579
750,88.80653283566514
751,88.81184814598836
752,88.82283246640924
753,88.83846566312448
754,88.85177989728038
755,88.86057447435255
756,88.86602353618218
757,88.87224790650373
758,88.88610271435479
759,88.89915730735346
760,88.90879405555995
761,88.91821134456382
762,88.92591781893812
763,88.93128090502803
764,88.94210065821342
765,88.95488447217613
766,88.96745236194282
767,88.97567456908193
768,88.9803237658893
769,88.98594333828922
770,89.0003150036439
771,89.01269492474907
772,89.02124899721879
773,89.02913023508643
774,89.03675796861583
775,89.04394636337557
776,89.05479571907097
777,89.06600815095345
778,89.07764772300375
779,89.08694659498175
780,89.09249946504397
781,89.09927346821455
782,89.11205061329782
783,89.12530677211137
784,89.13467248813042
785,89.14283271545119
